,population,income,house_value,rent,tract,unemployment,poverty
465,1241,35064,122000,1107,08031980000,0.04,0.16
466,0,-666666666,-666666666,-666666666,08031980100,,
467,6202,49402,300800,2001,08035013910,0.05,0.02
468,6578,50605,379900,1872,08035013911,0.05,0.05
469,4851,47052,281700,1417,08035014005,0.05,0.05
470,5892,64760,354700,365,08035014006,0.03,0.02
471,2229,37983,325400,1008,08035014007,0.02,0.12
472,6259,61563,333800,1909,08035014008,0.04,0.04
473,3600,47165,248900,2001,08035014009,0.04,0.04
474,5557,41310,323700,1085,08035014010,0.05,0.01
475,6497,31457,253300,1089,08041003906,0.12,0.04
476,4216,16400,12000,854,08041000302,0.17,0.23
477,5637,34841,309900,1205,08041004902,0.07,0.06
478,4239,17426,136400,685,08041006100,0.23,0.46
479,1128,26474,146000,630,08041001101,0.08,0.18
480,3939,26576,286500,798,08041002502,0.06,0.1
481,3046,30347,243700,888,08049000100,0.08,0.17
482,5040,26941,170800,929,08001009401,0.16,0.09
483,5613,25592,184400,1098,08001009407,0.15,0.22
484,4299,56138,289400,1677,08001009408,0.03,0.02
485,4629,20566,156400,930,08001009604,0.14,0.24
486,5752,16394,65000,757,08001008308,0.17,0.4
487,5563,33774,191500,1301,08001008508,0.08,0.07
488,2417,25363,131100,942,08001008603,0.14,0.2
489,5173,16454,179900,1049,08001008604,0.14,0.11
490,3673,30904,195900,864,08001008605,0.07,0.05
491,5338,46870,450100,1419,08005006855,0.03,0.07
492,1376,62847,920800,2001,08005006712,0.06,0.0
493,1342,39769,-666666666,1212,08005006713,0.02,0.01
494,4572,37302,259500,1337,08005006858,0.04,0.11
495,7457,40581,199700,1257,08005006856,0.07,0.06
496,2165,50598,700400,854,08005006857,0.03,0.0
497,1669,39654,313400,2001,08005007103,0.06,0.08
498,5783,43948,396100,1151,08005007107,0.05,0.03
499,2584,45357,308600,1750,08005015100,0.07,0.06
500,5480,40528,278100,1773,08005007104,0.03,0.04
501,1275,27254,276100,1022,08007940400,0.14,0.13
502,3415,23750,323400,859,08007974300,0.11,0.14
503,5466,24491,212400,984,08007974200,0.09,0.08
504,3752,45168,304000,1046,08059012044,0.05,0.06
505,4017,34162,256300,1640,08059012053,0.06,0.07
506,5814,40813,234200,1085,08059012057,0.05,0.03
507,5565,34095,238500,1644,08059009828,0.11,0.05
508,5911,20973,149900,893,08001008000,0.13,0.18
509,9724,24329,145000,997,08001009002,0.1,0.14
510,6638,18942,28500,1140,08001009316,0.13,0.12
511,4840,22223,218000,680,08001009607,0.12,0.15
512,6778,30576,176600,986,08001008505,0.08,0.13
513,7052,43090,293900,1168,08001008523,0.06,0.05
514,6369,23570,182900,910,08001009304,0.09,0.23
515,3690,22243,236400,890,08001009203,0.11,0.23
516,6181,22610,160100,902,08001009310,0.12,0.24
517,4745,34771,189000,1169,08001009406,0.07,0.14
518,3003,37396,187600,1428,08001009608,0.12,0.05
519,4571,36188,215700,1084,08001008402,0.08,0.09
520,4768,20868,123700,914,08001008705,0.12,0.27
