,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
7801,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,79.0,
1402,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,
80400,,,,,,,,,0.0,16.0,28.0,40.0,52.0,64.0,76.0,87.0,
1706,,,,,0.0,,,,0.0,12.0,24.0,39.0,63.0,87.0,111.0,133.0,133.0
84600,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,82.0,
7112,,,,,,,,,0.0,12.0,24.0,39.0,51.0,63.0,75.0,85.0,
8390,,,,,,,,,0.0,12.0,13.0,,,,,,
82400,,,,,,,,,0.0,12.0,27.0,51.0,75.0,99.0,123.0,139.0,
207,,,,,,,,,0.0,,,,,2.0,14.0,23.0,
951901,,,,,,,,,0.0,24.0,48.0,72.0,96.0,116.0,131.0,150.0,
84200,,,,,,,,,0.0,12.0,27.0,51.0,73.0,75.0,85.0,106.0,
204,,,,,,,,,0.0,4.0,,7.0,19.0,37.0,61.0,81.0,
7201,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,82.0,
87100,,,,,,,,,0.0,2.0,3.0,12.0,12.0,24.0,36.0,47.0,
80100,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,83.0,
82300,,,,,,,,,0.0,0.0,12.0,24.0,36.0,48.0,60.0,69.0,
7900,,,,,,,,,0.0,24.0,48.0,72.0,96.0,116.0,131.0,144.0,
81002,,,,,,,,,0.0,12.0,24.0,36.0,40.0,47.0,59.0,68.0,
8200,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,83.0,
80900,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,83.0,
980000,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,83.0,
