,population,income,house_value,rent,unemployment,poverty,dispensary_status,scores,match_id,record_id
1225,6533,49418,625600,1829,0.03,0.09,1,0.331679942072618,144,1225
799,3881,62621,481200,1390,0.03,0.01,0,0.33164240977326787,144,799
1226,2931,41719,885800,2045,0.01,0.14,1,0.5907596925141404,145,1226
742,4295,36977,410800,1415,0.02,0.18,0,0.5916947050340691,145,742
557,3064,59502,390100,1632,0.06,0.05,0,0.44732718602293003,146,557
1227,5398,40579,547900,1720,0.01,0.13,1,0.44732641413464597,146,1227
1228,4905,36331,886100,1730,0.1,0.12,1,0.49663541986123294,147,1228
956,1233,37034,564300,1670,0.03,0.02,0,0.49686995996958844,147,956
1229,2342,34757,797800,1389,0.0,0.14,1,0.620636812231615,148,1229
308,1328,55000,438000,1335,0.02,0.11,0,0.6197212537566598,148,308
1230,4529,43187,702400,2295,0.05,0.04,1,0.3643044953951447,149,1230
411,3500,44052,404300,1945,0.0,0.02,0,0.3646379607970445,149,411
1231,2492,42821,364000,1499,0.07,0.2,1,0.7199457021510544,150,1231
277,2097,37292,614100,2596,0.13,0.17,0,0.7199077186899331,150,277
523,1998,32099,290700,1058,0.03,0.07,0,0.5414050838630502,151,523
1232,1379,43278,750000,1875,0.05,0.05,1,0.5419554882327986,151,1232
1233,1577,34446,770600,2367,0.0,0.05,1,0.5169417176725527,152,1233
481,2140,57946,443000,1930,0.07,0.06,0,0.5169225109714431,152,481
1234,2414,48429,713000,1284,0.16,0.06,1,0.5456315067832128,153,1234
532,2594,47270,393800,1378,0.06,0.09,0,0.5449492175965918,153,532
1235,3467,39388,274700,1708,0.14,0.05,1,0.4726970379275764,154,1235
741,3366,34430,455300,1057,0.08,0.06,0,0.47269045618928623,154,741
1236,4286,34533,304400,1171,0.07,0.09,1,0.4691416295554234,155,1236
950,4275,34512,455700,1173,0.03,0.1,0,0.46947016723854923,155,950
1237,4268,28941,249300,1081,0.04,0.24,1,0.6941310821973409,156,1237
426,1754,36867,215300,1273,0.01,0.17,0,0.6944840153446173,156,426
544,1677,22344,186700,1044,0.11,0.24,0,0.8164143646563603,157,544
1238,3419,30522,222900,941,0.07,0.31,1,0.8160368502090853,157,1238
1239,4702,18439,19900,1051,0.11,0.3,1,0.7784553336559265,158,1239
912,4989,24658,226300,983,0.04,0.33,0,0.7782925701260708,158,912
1240,2375,35571,251100,1099,0.08,0.06,1,0.5237952679589446,159,1240
63,3620,34806,331400,2022,0.0,0.12,0,0.523716466585281,159,63
1241,2083,35375,297600,1523,0.02,0.04,1,0.4819426163138698,160,1241
91,2554,46731,757900,1704,0.02,0.06,0,0.4821067973952486,160,91
1242,3083,36743,273500,1358,0.05,0.11,1,0.5547802613078289,161,1242
1027,2518,44758,333900,1584,0.07,0.09,0,0.5546517975137604,161,1027
124,1825,37469,447000,1160,0.07,0.08,0,0.5790683877384695,162,124
1243,3352,26592,261600,1009,0.05,0.13,1,0.5795747725857473,162,1243
1244,2972,37139,311500,1056,0.05,0.14,1,0.6076718218086237,163,1244
415,2068,40000,436600,1718,0.02,0.12,0,0.6080622988584448,163,415
1245,2350,59103,651500,1239,0.01,0.07,1,0.4966401806432151,164,1245
956,1233,37034,564300,1670,0.03,0.02,0,0.49686995996958844,164,956
1246,1780,32500,294500,1130,0.02,0.15,1,0.6713726330362688,165,1246
533,1457,28079,253600,1023,0.05,0.13,0,0.6711783691288747,165,533
1247,5516,36259,319600,1143,0.06,0.1,1,0.41641564822281424,166,1247
192,5174,38639,342900,2327,0.1,0.08,0,0.41677636915306127,166,192
671,2416,29665,302400,1019,0.03,0.19,0,0.7037193237349304,167,671
1248,2415,32179,240000,1337,0.04,0.19,1,0.7058516971495727,167,1248
2,5749,31779,304000,1190,0.07,0.18,0,0.540712478278786,168,2
1249,2010,51081,328000,1172,0.02,0.08,1,0.540209252495466,168,1249
1250,2179,27049,236500,932,0.04,0.15,1,0.6634752193708283,169,1250
531,3041,34476,396100,1294,0.08,0.17,0,0.6625067761897303,169,531
1251,6762,31372,257200,1004,0.06,0.12,1,0.3882256719923866,170,1251
145,4672,54527,628100,1659,0.03,0.07,0,0.38818851064759075,170,145
1252,3798,29025,204100,1199,0.08,0.16,1,0.6144016701480688,171,1252
577,3127,39424,-666666666,1706,0.03,0.1,0,0.6135458220069303,171,577
1253,4838,23301,196800,1042,0.08,0.16,1,0.5654425249807215,172,1253
758,3730,37097,406700,1128,0.12,0.12,0,0.5655105812044262,172,758
544,1677,22344,186700,1044,0.11,0.24,0,0.8164143646563603,173,544
1254,1994,25609,249200,920,0.12,0.25,1,0.8171818873361325,173,1254
1255,3339,30987,257900,894,0.08,0.24,1,0.7453627289816463,174,1255
955,4778,25176,90900,746,0.1,0.28,0,0.7462248354590684,174,955
1256,3112,21758,188000,1155,0.22,0.14,1,0.6728809617270528,175,1256
253,1450,31372,283300,1075,0.1,0.12,0,0.6732633514268902,175,253
1257,3818,33410,288200,1110,0.09,0.14,1,0.5832621089347543,176,1257
991,2912,31034,248200,608,0.05,0.12,0,0.5832841669352595,176,991
1258,4543,29538,206200,1077,0.11,0.15,1,0.5726293551828372,177,1258
185,3184,32500,312100,1358,0.02,0.13,0,0.5721654054217451,177,185
1259,2391,27460,271400,1146,0.1,0.24,1,0.7881338991819827,178,1259
1,4598,25444,300500,1061,0.07,0.32,0,0.7894260451285677,178,1
1260,1277,52483,608100,1102,0.03,0.01,1,0.46800042082126886,179,1260
196,4997,35417,164800,1519,0.08,0.11,0,0.468021836806749,179,196
